Age (Months);-3;-2;-1;0;1;2;3
0;30.5;32.0;33.0;34.5;35.5;37.0;38.5
1;33.5;35.0;36.0;37.0;38.0;39.0;40.0
2;35.5;36.5;38.0;39.0;40.0;41.0;43.0
3;37.0;38.0;39.5;40.5;41.0;43.0;44.0
4;38.0;39.0;40.5;41.5;42.5;44.0;45.0
5;39.0;40.0;41.5;42.5;44.0;45.0;46.0
6;39.5;41.0;42.0;43.5;44.5;46.0;47.0
7;40.5;41.5;43.0;44.0;45.5;46.5;47.5
8;41.0;42.0;43.5;44.5;46.0;47.0;48.5
9;41.25;42.5;43.8;45.0;46.2;47.5;48.8
10;41.5;43.0;44.0;45.5;46.5;48.0;49.0
11;42.0;43.2;44.5;46.0;47.0;48.5;49.5
12;42.25;43.5;45.0;46.2;47.2;48.8;50.0
13;42.5;43.8;45.1;46.5;47.5;49.0;50.2
14;42.8;44.0;45.2;46.8;48.0;49.2;50.5
15;43.0;44.2;45.3;47.0;48.2;49.5;50.8
16;43.2;44.4;46.4;47.2;48.4;49.8;51.0
17;43.4;44.8;46.5;47.4;48.6;50.0;51.2
18;43.6;45;46.6;47.5;48.8;50.1;51.5
19;43.8;45.4;46.7;47.7;49.0;50.3;51.7
20;43.9;45.8;46.8;47.9;49.2;50.5;51.85
21;44.0;45.0;46.9;48.0;49.35;50.7;52.0
22;44.2;45.15;47.0;48.1;49.5;50.85;52.1
23;44.4;45.35;47.1;48.25;49.6;51.0;52.3
24;44.8;45.75;47.2;48.4;49.7;51.1;52.5
25;44.0;45.9;47.3;48.5;49.85;51.2;52.6
26;44.2;46.0;47.4;48.6;50.0;51.3;52.7
27;44.4;46.1;47.5;48.7;50.1;51.4;52.8
28;44.6;46.2;47.6;48.85;50.2;51.5;53.0
29;44.8;46.3;47.7;49.0;50.3;51.6;53.1
30;45.0;46.4;47.8;49.1;50.4;51.8;53.2
31;45.1;46.5;47.9;49.2;50.5;52.0;53.3
32;45.3;46.6;48;49.3;50.6;52.1;53.4
33;45.5;46.7;48.1;49.4;50.7;52.2;53.5
34;45.7;46.8;48.15;49.5;50.8;52.3;53.6
35;45.9;46.9;48.2;49.6;51.0;52.4;53.7
36;45.0;47.0;48.25;49.7;51.1;52.5;53.8
37;45.1;47.1;48.3;49.8;51.2;52.6;54.0
38;45.2;47.15;48.35;49.9;51.3;52.7;54.1
39;45.3;47.2;48.4;50.0;51.35;52.8;54.15
40;45.4;47.25;48.45;50.;51.45;52.9;54.2
41;45.5;47.3;48.5;50.15;51.5;52.95;54.3
42;45.6;47.35;48.55;50.2;51.6;53.0;54.4
43;45.7;47.4;48.6;50.25;51.65;53.1;54.5
44;45.8;47.45;48.65;50.3;51.7;53.15;54.55
45;45.9;47.5;48.7;50.35;51.75;53.2;54.6
46;46.1;47.6;48.75;50.4;51.8;53.25;54.7
47;46.15;47.65;48.8;50.45;51.9;53.3;54.75
48;46.2;47.7;48.85;50.5;51.95;53.35;54.8
49;46.25;47.75;48.9;50.55;52.0;53.4;54.85
50;46.3;47.8;49.0;50.6;52.1;53.45;54.9
51;46.35;47.85;49.1;50.65;52.2;53.5;55.0
52;46.4;47.9;49.2;50.7;52.3;53.55;55.1
53;46.45;47.95;49.3;50.75;52.4;53.6;55.2
54;46.5;48;49.4;50.8;52.5;53.65;55.3
55;46.55;48.1;49.5;50.85;52.6;53.7;55.4
56;46.6;48.15;49.6;50.9;52.7;53.75;55.5
57;46.65;48.2;49.7;50.95;52.8;53.8;55.6
58;46.7;48.25;49.8;51.0;52.9;53.85;55.7
59;46.75;48.3;49.9;51.1;53.0;53.9;55.8
60;46.8;48.35;50;51.15;53.1;53.95;55.9
