Age (Months);Gender;-3;-2;0;2;3
0;P;43.6;45.4;49.1;52.9;54.7 
1;P;47.8;49.8;53.7;57.6;59.5 
2;P;51.0;53.0;57.1;61.1;63.2 
3;P;53.5;55.6;59.8;64.0;66.1 
4;P;55.6;57.8;62.1;66.4;68.6 
5;P;57.4;59.6;64.0;68.5;70.7 
6;P;58.9;61.2;65.7;70.3;72.5 
7;P;60.3;62.7;67.3;71.9;74.2 
8;P;61.7;64.0;68.7;73.5;75.8 
9;P;62.9;65.3;70.1;75.0;77.4 
10;P;64.1;66.5;71.5;76.4;78.9 
11;P;65.2;67.7;72.8;77.8;80.3 
12;P;66.3;68.9;74.0;79.2;81.7 
13;P;67.3;70.0;75.2;80.5;83.1 
14;P;68.3;71.0;76.4;81.7;84.4 
15;P;69.3;72.0;77.5;83.0;85.7 
16;P;70.2;73.0;78.6;84.2;87.0 
17;P;71.1;74.0;79.7;85.4;88.2 
18;P;72.0;74.9;80.7;86.5;89.4 
19;P;72.8;75.8;81.7;87.6;90.6 
20;P;73.7;76.7;82.7;88.7;91.7 
21;P;74.5;77.5;83.7;89.8;92.9 
22;P;75.2;78.4;84.6;90.8;94.0 
23;P;76.0;79.2;85.5;91.9;95.0 
24;P;76.7;80.0;86.4;92.9;96.1 
25;P;77.0;80.2;87.0;93.0;96.3
26;P;77.2;80.4;87.3;94.0;97.2
27;P;78.0;81.3;88.1;95.0;98.1
28;P;78.4;82.1;89.0;96.0;99.1
29;P;79.1;83.0;90.0;97.0;100.1
30;P;80.0;83.4;90.4;97.4;101.0
31;P;80.4;84.3;91.2;98.2;102.0
32;P;81.0;85.0;92.0;99.1;103.0
33;P;82.0;85.3;93.0;100.2;104.0
34;P;82.4;86.2;93.3;101.0;105.0
35;P;83.1;87.0;94.1;102.0;105.3
36;P;83.3;87.3;95.0;102.3;106.2
37;P;84.0;88.0;95.4;103.1;107.0
38;P;85.0;88.3;96.1;104.0;108.0
39;P;85.1;89.0;97.0;105.0;109.0
40;P;86.0;90.0;98.0;105.4;109.4
41;P;86.2;90.2;98.2;106.2;110.2
42;P;87.0;91.0;99.0;107.0;111.0
43;P;87.1;91.3;99.4;108.0;112.0
44;P;88.0;92.0;100.1;108.3;112.2
45;P;88.2;92.3;101.0;109.0;113.2
46;P;89.0;93.0;101.3;110.0;114.0
47;P;89.2;93.3;102.0;110.3;115.0
48;P;90.0;94.0;102.4;111.0;115.3
49;P;90.2;94.4;103.1;112.0;116.1
50;P;91.0;95.1;104.0;112.3;117.0
51;P;91.2;95.4;104.2;113.1;117.4
52;P;91.4;96.0;105.0;114.0;118.1
53;P;92.0;96.4;105.3;114.4;119.0
54;P;92.3;97.0;106.0;115.1;120.0
55;P;93.0;97.4;106.4;116.0;120.2
56;P;93.2;98.0;107.1;116.2;121.0
57;P;94.0;98.3;107.4;117.0;121.4
58;P;94.2;99.0;108,0;117.4;122.1
59;P;94.4;99.1;109.0;118.0;123.0
60;P;95.1;99.4;109.4;119.0;123.3
0;L;44.2;46.1;49.9;53.7;55.6 
1;L;48.9;50.8;54.7;58.6;60.6 
2;L;52.4;54.4;58.4;62.4;64.4 
3;L;55.3;57.3;61.4;65.5;67.6 
4;L;57.6;59.7;63.9;68.0;70.1 
5;L;59.6;61.7;65.9;70.1;72.2 
6;L;61.2;63.3;67.6;71.9;74.0 
7;L;62.7;64.8;69.2;73.5;75.7 
8;L;64.0;66.2;70.6;75.0;77.2 
9;L;65.2;67.5;72.0;76.5;78.7 
10;L;66.4;68.7;73.3;77.9;80.1 
11;L;67.6;69.9;74.5;79.2;81.5 
12;L;68.6;71.0;75.7;80.5;82.9 
13;L;69.6;72.1;76.9;81.8;84.2 
14;L;70.6;73.1;78.0;83.0;85.5 
15;L;71.6;74.1;79.1;84.2;86.7 
16;L;72.5;75.0;80.2;85.4;88.0 
17;L;73.3;76.0;81.2;86.5;89.2 
18;L;74.2;76.9;82.3;87.7;90.4 
19;L;75.0;77.7;83.2;88.8;91.5 
20;L;75.8;78.6;84.2;89.8;92.6 
21;L;76.5;79.4;85.1;90.9;93.8 
22;L;77.2;80.2;86.0;91.9;94.9 
23;L;78.0;81.0;86.9;92.9;95.9 
24;L;78.7;81.7;87.8;93.9;97.0 
25;L;78.9;81.9;88.0;94.0;97.1
26;L;79.0;82.2;89.0;95.0;98.0
27;L;80.0;83.0;89.4;96.0;99.1
28;L;80.3;83.4;90.2;97.0;100.1
29;L;81.0;84.3;91.1;98.0;101.0
30;L;81.4;85.0;92.0;98.2;102.0
31;L;82.0;85.3;92.4;99.3;103.0
32;L;82.4;86.0;93.2;100.2;104.0
33;L;83.1;87.0;94.0;101.0;105.0
34;L;84.0;87.3;95.0;102.0;105.3
35;L;84.2;88.0;95.2;102.2;106.1
36;L;85.0;88.3;96.0;103.1;107.0
37;L;85.2;89.2;96.4;104.0;108.0
38;L;86.0;90.0;97.2;105.0;108.2
39;L;86.3;90.3;98.0;105.2;109.2
40;L;87.0;91.0;98.4;106.1;110.1
41;L;87.3;91.2;99.0;107.0;111.0
42;L;88.0;92.0;100.0;107.2;112.0
43;L;88.3;92.2;100.2;108.1;112.3
44;L;89.0;93.0;101.0;109.0;113.0
45;L;89.2;93.2;101.2;110.0;114.0
46;L;90.0;94.0;102.0;110.2;114.2
47;L;90.2;94.3;102.3;111.0;115.1
48;L;91.0;95.0;103.0;111.4;116.0
49;L;91.2;95.2;104.1;112.1;116.2
50;L;91.4;96.0;104.3;113.0;117.0
51;L;92.1;96.2;105.0;113.3;118.0
52;L;92.4;96.4;105.2;114.1;118.3
53;L;93.0;97.2;106.0;115.0;119.1
54;L;93.3;97.4;106.2;115.2;120.0
55;L;94.0;98.2;107.0;116.0;120.2
56;L;94.2;98.4;107.3;116.4;121.0
57;L;94.4;99.2;108.0;117.2;122.0
58;L;95.0;99.4;109.0;118.0;122.3
59;L;95.4;100.2;109.2;118.3;123.0
